#|season|week|title|OT A|PS A|NT A|GS A|OT B|PS B|NT B|GS B|OT C|PS C|NT C|GS C|
palmSunday|1|Palm Sunday|Isaiah 52:13-53:12|Ps 22:1-21 or Ps 22:1-11|Phil 2:5-11|Mt (26:36-75)27:1-54(55-66)|Isaiah 52:13-53:12|Ps 22:1-11 or Ps 22:1-21|Phil 2:5-11|Mk (14:32-72)15:1-39(40-47)|Isaiah 52:13-53:12|Ps 22:1-11 or Ps 22:1-21|Phil 2:5-11|Lk (22:39-71)23:1-49(50-56)
holyWeek|1|Monday in Holy Week|Isaiah 42:1-9|Ps 36:5-10|Heb 11:39-12:3|Jn 12:1-11 or Mk 14:3-9|Isaiah 42:1-9|Ps 36:5-10|Heb 11:39-12:3|Jn 12:1-11 or Mk 14:3-9|Isaiah 42:1-9|Ps 36:5-10|Heb 11:39-12:3|Jn 12:1-11 or Mk 14:3-9 
holyWeek|2|Tuesday in Holy Week|Isaiah 49:1-6|Ps 71:1-12|1 Cor 1:18-31|Jn 12:37-38,42-50 or Mk 11:15-19|Isaiah 49:1-6|Ps 71:1-12|1 Cor 1:18-31|Jn 12:37-38,42-50 or Mk 11:15-19|Isaiah 49:1-6|Ps 71:1-12|1 Cor 1:18-31|Jn 12:37-38,42-50 or Mk 11:15-19
holyWeek|3|Wednesday in Holy Week|Isaiah 50:4-9|Ps 69:7-15,22-23|Heb 9:11-28|Mt 26:1-5,14-25|Isaiah 50:4-9|Ps 69:7-15,22-23|Heb 9:11-28|Mt 26:1-5,14-25|Isaiah 50:4-9|Ps 69:7-15,22-23|Heb 9:11-28|Mt 26:1-5,14-25 
holyWeek|4|Maundy Thursday|Ex 12:1-14|Ps 78:14-25|1 Cor 11:23-26(27-34)|Jn 13:1-15 or Lk 22:14-30|Ex 12:1-14|Ps 78:14-25|1 Cor 11:23-26(27-34)|Jn 13:1-15 or Lk 22:14-30|Ex 12:1-14|Ps 78:14-25|1 Cor 11:23-26(27-34)|Jn 13:1-15 or Lk 22:14-30 
#|HolyWeek|5|Good Friday |Gen 22:1-18|Ps 22:1-11(12-21) or Ps 40:1-14 or 69:1-23|Heb 10:1-25|Jn (18:1-40) 19:1-37|Gen 22:1-18|Ps 22:1-11(12-21) or Ps 40:1-14 or 69:1-23|Heb 10:1-25|Jn (18:1-40)|19:1-37|Gen 22:1-18|Ps 22:1-11(12-21) or Ps 40:1-14 or 69:1-23|Heb 10:1-25|Jn (18:1-40) 19:1-37
holyWeek|6|Holy Saturday|Job 14:1-17|Ps 130 or Ps 31:1-5|1 Pet 4:1-8|Mt 27:57-66 or Jn 19:38-42|Job 14:1-17|Ps 130 or Ps 31:1-5|1 Pet 4:1-8|Mt 27:57-66 or Jn 19:38-42|Job 14:1-17|Ps 130 or Ps 31:1-5|1 Pet 4:1-8|Mt 27:57-66 or Jn 19:38-42
#|easterDayVigil|1|The Great Vigil of Easter|Genesis 1:1―2:2|Genesis 7:1-5, 11-18; 8:8-18; 9:8-13|Genesis 22:1-18|Exodus 14:10―15:1|Isiah 4:2-6|Isiah 55:1-11|Ezekiel 36:24-28|Ezekiel 37:1-14|Zephaniah 3:12-20|Romans 6:3-11|Matthew 28:1-10|Genesis 1:1―2:2|Genesis 7:1-5, 11-18; 8:8-18; 9:8-13|Genesis 22:1-18|Exodus 14:10―15:1|Isiah 4:2-6|Isiah 55:1-11|Ezekiel 36:24-28|Ezekiel 37:1-14|Zephaniah 3:12-20|Romans 6:3-11|Matthew|28:1-10|Genesis 1:1―2:2|Genesis 7:1-5, 11-18; 8:8-18; 9:8-13|Genesis 22:1-18|Exodus 14:10―15:1|Isiah 4:2-6|Isiah 55:1-11|Ezekiel 36:24-28|Ezekiel 37:1-14|Zephaniah 3:12-20|Romans 6:3-11|Matthew 28:1-10
#|easterDay|1|Easter Day: Early Service|Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11|Mt 28:1-10|Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11 Mt 28:1-10|Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11|Mt 28:1-10
easterDay|2|Easter Day: Principal Service|Acts 10:34-43 or Ex 14:10-14,21-31|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|Jn 20:1-10(11-18) or Mt 28:1-10|Acts 10:34-43 or Is 25:6-9|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|Mk 16:1-8|Acts 10:34-43 or Is 51:9-11|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|Lk 24:1-10
