#| Week of 1 advent
christmas|2|2|special|Jan 2|34|33|1|Kings 19:1-8|Eph. 4:1-16|John 6:1-14
christmas|2|2|special|Jan 3|68|72**|1|Kings 19:9-18|Eph. 4:17-32|John 6:15-27
christmas|2|2|special|Jan 4|85, 87|89:1-29 **|Joshua 3:14—4:7|Eph. 5:1-20|John 9:1-12,35-38
christmas|2|2|special|Jan 5|2, 110:1-5(6-7)||Jonah 2:2-9|Eph. 6:10-20|John 11:17-27,38-44
christmas|2|2|special|Eve of Epiphany||29, 98|Isa. 66:18-23|Rom. 15:7-13|
#| * If today is Saturday Saturday use Psalms 23 and 27 at Evening Prayer.
#| ** If today is Saturday Saturday use Psalm 136 at Evening Prayer.
#| 942 Daily Office Year One
#| The Epiphany and Following
epiphany|1|1|special|Epiphany|46, 97|96, 100|Isa. 52:7-10|Rev. 21:22-27|Matt. 12:14-21
epiphany|1|1|special|Jan 7*|103|114, 115|Isa. 52:3-6|Rev. 2:1-7|John 2:1-11
epiphany|1|1|special|Jan 8|117, 118|112, 113|Isa. 59:15-21|Rev. 2:8-17|John 4:46-54
epiphany|1|1|special|Jan 9|121, 122, 123|131, 132|Isa. 63:1-5|Rev. 2:18-29|John 5:1-15
epiphany|1|1|special|Jan 10|138, 139:1-17(18-23)|147|Isa. 65:1-9|Rev. 3:1-6|John 6:1-14
epiphany|1|1|special|Jan 11|148, 150|91, 92|Isa. 65:13-16|Rev. 3:7-13|John 6:15-27
epiphany|1|1|special|Jan 12|98, 99, [100]||Isa. 66:1-2, 22-23|Rev. 3:14-22|John 9:1-12, 35-38
epiphany|1|1|special|Eve of 1 Epiphany||104|Isa. 61:1-9|Gal. 3:23-29; 4:4-7|
#| Week of 1 Epiphany
epiphany|1|1|sunday|Sunday|146, 147|111, 112, 113|Isa. 40:1-11|Heb. 1:1-12|John 1:1-7, 19-20, 29-34
epiphany|1|1|monday|Monday|1, 2, 3|4, 7|Isa. 40:12-23|Eph. 1:1-14|Mark 1:1-13
epiphany|1|1|tuesday|Tuesday|5, 6|10, 11|Isa. 40:25-31|Eph. 1:15-23|Mark 1:14-28
epiphany|1|1|wednesday|Wednesday|119:1-24|12, 13, 14|Isa. 41:1-16|Eph. 2:1-10|Mark 1:29-45
epiphany|1|1|thursday|Thursday|18:1-20|18:21-50|Isa. 41:17-29|Eph. 2:11-22|Mark 2:1-12
epiphany|1|1|friday|Friday|16, 17|22|Isa. 42:(1-9)10-17|Eph. 3:1-13|Mark 2:13-22
epiphany|1|1|saturday|Saturday|20, 21:1-7(8-14)|110:1-5(6-7), 116, 117|Isa. 43:1-13|Eph. 3:14-21|Mark 2:23—3:6
#| * The Psalms and Readings for the dated days after the Epiphany
#| are used only until the following Saturday Evening.
#| Daily Office Year Two 943
#| The Epiphany and|Following
epiphany|1|2|special|Epiphany|46, 97|96, 100|Isa. 49:1-7|Rev. 21:22-27|Matt. 12:14-21
epiphany|1|2|special|Jan 7*|103|114, 115|Deut. 8:1-3|Col. 1:1-14|John 6:30-33,48-51
epiphany|1|2|special|Jan 8|117, 118|112, 113|Exod. 17:1-7|Col. 1:15-23|John 7:37-52
