#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
epiphany|7|Monday|Monday|Gen 3|Matt 15:29―16.:2|Gen 4:1-16|Rom 1
epiphany|7|Tuesday|Tuesday|Gen 6|Matt16.:3-end|Gen 7|Rom 2
epiphany|7|Wednesday|Wednesday|Gen 8:1-14|Matt17:1-23|Gen 8:15―9.:7 (18-29)|Rom 3
epiphany|7|Thursday|Thursday|Gen 11:1-9, 27―12.:0 (11-20)|Matt17.:4―18.:4|Gen 13|Rom 4
epiphany|7|Friday|Friday|Gen 14|Matt18.:5-end|Gen 15|Rom 5
epiphany|7|Saturday|Saturday|Gen 16|Matt19:1-15|Gen 17:1-22 (23-27)|Rom 6
epiphany|8|Sunday|Eighth Sunday of Epiphany|Gen 3|1 Cor 10:1-13 (14-24)|Gen 4:1-15|Luke 10:25-37
epiphany|8|Monday|Monday|Gen 18|Matt 19:16-20.:6|Gen 19:1-3, 12-29|Rom 7
epiphany|8|Tuesday|Tuesday|Gen (20) 21|Matt 20:17-end|Gen 22:1-19|Rom 8:1-17
epiphany|8|Wednesday|Wednesday|Gen 23|Matt 21:1-22|Gen 24:1-28|Rom 8:18-end
epiphany|8|Thursday|Thursday|Gen 24:29-end|Matt 21:23-end|Gen 25:(1-6) 7-11, 19-end|Rom 9
epiphany|8|Friday|Friday|Gen 26:1-5, (6-11) 12-end|Matt 22:1-33|Gen 27:1-40|Rom 10
epiphany|8|Saturday|Saturday|Gen 27:41―28 end|Matt22.:4-23.:2|Gen 29:1-20 (29.21―30.43)|Rom 11
epiphany|9|Sunday|The Last Sunday of Epiphany [Transfiguration]|Gen 12:1-9|1 Cor 12:4-end|Gen 6:5-end|Luke 17:20-end
epiphany|9|Monday|Monday|Gen 31:1-21|Matt 23:13-end|Gen 31:22―32:2|Rom 12
epiphany|9|Tuesday|Tuesday|Gen 32:3-30 (31-32)|Matt 24:1-28|Gen 33 (34)|Rom 13
epiphany|9|Ash|Ash Wednesday|Isa 57:15-end|Mark 2:13-22|Isa 58|Heb 3:12―4.:3
epiphany|9|Thursday|Thursday|Gen 35:1-20 (21-29)|Matt 24:29-end|Gen 37 (38)|Rom 14
epiphany|9|Friday|Friday|Gen 39|Matt 25:1-30|Gen 40|Rom 15
epiphany|9|Saturday|Saturday|Gen 41:1-40|Matt 25:31-end|Gen 41:41-end|Rom 16
lent|1|Sunday|First Sunday in Lent|Gen 13|Matt 9:1-17|Gen 8|Mark 14:1-26
lent|1|Monday|Monday|Gen 42|Matt 26:1-30|Gen 43|Phil 1
lent|1|Tuesday|Tuesday|Gen 44|Matt 26:31-56|Gen 45:1-15|Phil 2
lent|1|Wednesday|Wednesday Ember Day|Gen 45:16―46:7|Matt 26:57-end|Gen 46:26―47.:2|Phil 3
lent|1|Thursday|Thursday|Gen 47:13-end|Matt 27:1-26|Gen 48|Phil 4
lent|1|Friday|Friday Ember Day|Gen 49:1-32|Matt 27:27-56|Gen 49:33―50 end|Col 1:1-20
lent|1|Saturday|Saturday Ember Day|Exod 1:1-14, (15-21), 22―2.:0|Matt 27:57―28 end|Exod 2:11-22|Col 1:21―2:7
lent|2|Sunday|Second Sunday in Lent|Gen 18:1-15|Luke 15:11-end|Gen 9:1-17 (& 11:1-9)|Mark 14:27-52
lent|2|Monday|Monday|Exod 2:23―3 end|John 1:1-28|Exod 4:1-23 (24-26)|Col 2:8―3.:1
lent|2|Tuesday|Tuesday|Exod 4:27―6:1|John 1:29-end|Exod 6:2-13 (14-30) & 7:1-7|Col 3:12―4:1
lent|2|Wednesday|Wednesday|Exod 7:8-end|John 2|Exod 8:1-19|Col 4:2-end
lent|2|Thursday|Thursday|Exod 8:20―9.:2|John 3:1-21|Exod 9:13-end|Philemon
lent|2|Friday|Friday|Exod 10:1-20|John 3:22-end|Exod 10:21―11 end|Eph 1
lent|2|Saturday|Saturday|Exod 12:1-20|John 4:1-26|Exod 12:21-36|Eph 2
lent|3|Sunday|Third Sunday in Lent|Gen 18:16-end|Luke 18:1-14|Gen 24:1-28|Mark 14:53-end
lent|3|Monday|Monday|Exod 12:37-end|John 4:27-end|Exod 13:1-16|Eph 3
lent|3|Tuesday|Tuesday|Exod 13:17―14.:4|John 5:1-23|Exod 14:15-end|Eph 4:1-16
lent|3|Wednesday|Wednesday|Exod 15:1-26|John 5:24-end|Exod 15:27―16.:6|Eph 4:17-30
lent|3|Thursday|Thursday|Exod 17|John 6:1-21|Exod 18|Eph 4:31―5.:1
lent|3|Friday|Friday|Exod 19|John 6:22-40|Exod 20:1-21 (20.22―21.36)|Eph 5:22―6:9
lent|3|Saturday|Saturday|Exod 22:(1-19) 20―23.:7|John 6:41-end|Exod 23:(1-17) 18-end|Eph 6:10-end
lent|4|Sunday|Fourth Sunday in Lent|Exod 1:8-14, 22―2.:0|Luke 18:35―19.:0|Gen 24:29-end|Mark 15:1-21
lent|4|Monday|Monday|Exod 24|John 7:1-24|Exod 25:1-22 (25.23―26.37)|1 Tim 1:1-17
lent|4|Tuesday|Tuesday|Exod (27) 28:1-4, (5-28) 29-43|John 7:25-end|Exod 29:(1-37) 38―30.16 (17-38)|1 Tim 1:18―2 end
lent|4|Wednesday|Wednesday|Exod (31) 32|John 8:1-30|Exod 33, 34|1 Tim 3
lent|4|Thursday|Thursday|Exod 35 (36)|John 8:31-end|Exod (37) 38|1 Tim 4
lent|4|Friday|Friday|Exod (39) 40. (1-16) 17-end|John 9|Lev 6:8-end|1 Tim 5
lent|4|Saturday|Saturday|Lev 19:1-18, 30- end|John 10:1-21|Lev 25:1-24|1 Tim 6
lent|5|Sunday|Fifth Sunday in Lent [Passion]|Exod 2:23―3.:0|Mark 10:32-45|Exod 6:2-13|Mark 15:22-39
lent|5|Monday|Monday|Num 6|John 10:22-end|Num 9:15-end & 10.:9-end|Titus 1:1―2:8
lent|5|Tuesday|Tuesday|Num 11:10-33|John 11:1-44|Num 12|Titus 2:9―3 end
lent|5|Wednesday|Wednesday|Num 13:1-3,17- end|John 11:45-end|Num 14:1-25|2 Tim 1
lent|5|Thursday|Thursday|Num 16:1-35|John 12:1-19|Num 16:36―17 end|2 Tim 2
lent|5|Friday|Friday|Num 20|John 12:20-end|Num 22:1-35|2 Tim 3
lent|5|Saturday|Saturday|Num 22:36―23.:6|John 13|Num 23:27―24 end|2 Tim 4
lent|6|Sunday|Palm Sunday|Exod 11|Matt 26|Isa 52:13―53 end|Luke 19:29-end
